Season,Player,RBR
2015,Ryan Mathews,0.7153023746605006
2015,Joseph Randle,0.6061995738176353
2015,Marshawn Lynch,0.598772963975284
2015,Tevin Coleman,0.5940501595485145
2015,Andre Williams,0.5657852032246504
2016,Mike Gillislee,0.6924705882352942
2016,Alfred Blue,0.6571118465535034
2016,Thomas Rawls,0.6505338511085015
2016,Theo Riddick,0.646472020568663
2016,Giovani Bernard,0.6181884808369809
2018,Jordan Howard,0.7403645383508123
2018,Peyton Barber,0.7247718755814068
2018,Joe Mixon,0.6819761904761904
2018,Alvin Kamara,0.608471311555673
2018,Sony Michel,0.6035152879370955
2019,Derrick Henry,0.694705223880597
2019,Christian McCaffrey,0.6166546434494196
2019,Aaron Jones,0.6066488265741997
2019,Marlon Mack,0.6035202522739836
2019,Ezekiel Elliott,0.5793084828383336
2020,Cam Akers,0.7728808307449619
2020,Latavius Murray,0.7157604889782
2020,Joe Mixon,0.688373471474679
2020,Myles Gaskin,0.6679249253100351
2020,Darrell Henderson,0.6364585331855825
2022,Jonathan Taylor,0.7431350574712644
2022,Cam Akers,0.6548260404847648
2022,Isiah Pacheco,0.6539339779323501
2022,Leonard Fournette,0.6462772733038753
2022,Antonio Gibson,0.579348143958881
2023,Zack Moss,0.7346168582375479
2023,Jamaal Williams,0.6988374772517785
2023,Aaron Jones,0.6553695020207511
2023,Khalil Herbert,0.6236599570902235
2023,Darrell Henderson,0.6083292340578625
2024,Rhamondre Stevenson,0.8343571428571429
2024,De'Von Achane,0.7421481066526265
2024,Alexander Mattison,0.6625637455278115
2024,Tyler Allgeier,0.6370690095475783
2024,Tank Bigsby,0.6150147235016354
2025,D'Andre Swift,0.7505
2025,Woody Marks,0.6952873376623376
2025,J.K. Dobbins,0.676474025974026
2025,Kenneth Walker III,0.6572922077922078
2025,Jacory Croskey-Merritt,0.6188782467532468
